Region,Club,Address,City,State,ZipCode,Type,Sheets,Year_Fnded,Latitude,Longitude
Grand National Curling Club,Merrimack Valley Curling Club,25 Fairway St,Merrimack,New Hampshire,3054.0,Dedicated,3.0,2006,42.9041646,-71.48026879999999
Wisconsin State Curling Association,Madison Curling Club,4802 Marsh Rd,McFarland,Wisconsin,53558.0,Dedicated,6.0,1921,43.03062,-89.28764
Wisconsin State Curling Association,Wauwatosa Curling Club,7300 Chestnut St.,Wauwatosa,Wisconsin,53213.0,Dedicated,4.0,1921,43.047309999999996,-88.00431
Wisconsin State Curling Association,Kettle Moraine Curling Club,2630 Oakwood Rd,Hartland,Wisconsin,53029.0,Dedicated,5.0,1962,43.075509999999994,-88.37171
Grand National Curling Club,Utica Curling Club,8300 Clark Mills Rd,Whitesboro,New York,13492.0,Dedicated,6.0,1868,43.10419,-75.33926
Grand National Curling Club,Rochester Curling Club,71 Deep Rock Rd,Rochester,New York,14624.0,Dedicated,4.0,1961,43.12851,-77.68016999999999
Wisconsin State Curling Association,Milwaukee Curling Club,W67N890 Washington Ave,Cedarburg,Wisconsin,53012.0,Dedicated,5.0,1845,43.3081851,-87.9944207
Wisconsin State Curling Association,Lodi Curling Club,704 Fair Street,Lodi,Wisconsin,53555.0,Dedicated,2.0,1880,43.32243,-89.52521999999999
Wisconsin State Curling Association,Arlington Curling Club,207 Pierce St,Arlington,Wisconsin,53911.0,Dedicated,3.0,1935,43.33882,-89.38015
Wisconsin State Curling Association,Poynette Curling Club,216 E Hudson St,Poynette,Wisconsin,53955.0,Dedicated,2.0,1875,43.39325,-89.40035999999999
Wisconsin State Curling Association,Pardeeville Curling Club,203 2nd St,Pardeeville,Wisconsin,53954.0,Dedicated,2.0,1875,43.53853,-89.29881999999999
Wisconsin State Curling Association,Portage Curling Club,107 W Albert St,Portage,Wisconsin,53901.0,Dedicated,4.0,1850,43.54919,-89.46664
Great Lakes Curling Association,Midland Curling Club,2009 Jefferson Ave,Midland,Michigan,48640.0,Dedicated,4.0,1962,43.61645,-84.22747
